,score
66278,-1.0
66293,-2.0
66299,-2.0
66319,-4.0
66328,-2.0
66339,-1.0
66341,-2.0
66344,-2.0
66406,-4.0
66446,-1.0
66475,-5.0
66507,-2.0
66539,-2.0
66576,-3.0
66613,-8.0
66615,-2.0
66617,-1.0
66634,-1.0
66635,-1.0
66672,-2.0
66720,-1.0
66750,-3.0
66765,-3.0
66782,-2.0
66783,-2.0
66801,-3.0
66813,-4.0
66839,-2.0
66872,-5.0
67008,-1.0
67076,-2.0
67077,-1.0
67135,-2.0
67233,-2.0
67263,-2.0
67300,-2.0
67370,-9.0
67382,-1.0
67384,-2.0
67406,-1.0
67417,-2.0
67424,-2.0
67458,-2.0
67488,-1.0
67501,-2.0
67521,-4.0
67552,-2.0
67553,-2.0
67554,-2.0
67559,-3.0
67629,-8.0
67757,-8.0
67885,-2.0
67905,-2.0
68138,-2.0
68152,-2.0
68253,-6.0
68343,-1.0
68417,-2.0
68431,-1.0
68468,-4.0
68501,-2.0
68725,-1.0
68768,-1.0
68860,-2.0
68866,-2.0
68894,-1.0
68908,-4.0
68943,-2.0
69053,-1.0
69361,-2.0
69457,-2.0
69476,-2.0
69483,-2.0
69504,-2.0
69521,-1.0
69525,-1.0
69697,-2.0
69707,-5.0
69730,-2.0
69758,-4.0
69761,-3.0
69776,-2.0
69886,-3.0
69923,-1.0
69932,-1.0
70019,-7.0
70072,-2.0
70174,-4.0
70204,-2.0
70287,-2.0
70395,-1.0
70468,-2.0
70685,-1.0
70763,-3.0
70778,-2.0
70860,-2.0
70911,-6.0
70922,-1.0
70933,-2.0
71028,-2.0
71375,-4.0
71442,-1.0
71473,-1.0
71533,-4.0
71987,-2.0
72240,-4.0
72243,-4.0
72601,-6.0
73131,-2.0
73302,-4.0
73947,-2.0
74084,-1.0
74169,-4.0
74476,-2.0
74492,-2.0
74541,-2.0
74611,-3.0
74769,-2.0
74781,-1.0
74850,-2.0
74904,-2.0
74914,-2.0
74948,-4.0
75092,-2.0
75149,-2.0
75196,-1.0
75274,-1.0
75383,-3.0
75974,-4.0
75999,-1.0
76070,-2.0
76076,-1.0
76182,-3.0
76275,-1.0
76485,-1.0
76777,-1.0
76792,-2.0
76803,-3.0
76876,-3.0
77450,-2.0
77705,-2.0
77751,-1.0
77967,-1.0
78137,-1.0
78227,-6.0
78308,-2.0
78696,-2.0
78912,-1.0
79333,-1.0
79772,-6.0
80092,-4.0
80128,-3.0
80315,-2.0
80441,-2.0
81190,-10.0
81233,-4.0
81563,-2.0
81568,-2.0
81569,-2.0
81584,-4.0
81617,-1.0
81673,-1.0
81724,-1.0
81730,-1.0
81746,-1.0
81755,-1.0
82184,-1.0
82246,-2.0
82351,-1.0
82369,-1.0
82371,-2.0
82434,-2.0
82543,-1.0
82579,-2.0
82726,-1.0
82740,-1.0
82770,-1.0
83009,-2.0
83085,-2.0
83150,-4.0
83153,-14.0
83378,-3.0
83547,-2.0
83549,-2.0
83748,-2.0
83755,-1.0
83774,-1.0
83782,-1.0
83835,-4.0
83869,-2.0
83872,-1.0
83879,-2.0
83909,-1.0
83927,-4.0
84046,-3.0
84050,-2.0
84548,-2.0
84794,-3.0
85094,-2.0
85106,-1.0
85252,-3.0
85325,-4.0
85382,-6.0
85439,-2.0
85443,-2.0
85548,-1.0
85790,-2.0
85812,-1.0
85992,-4.0
86315,-1.0
86474,-1.0
86482,-6.0
86717,-2.0
86878,-1.0
87323,-3.0
87564,-2.0
87693,-4.0
87971,-1.0
88007,-2.0
88480,-2.0
88556,-1.0
88798,-6.0
88832,-3.0
88855,-2.0
88930,-1.0
89062,-1.0
89468,-7.0
89478,-4.0
89902,-1.0
90316,-2.0
90320,-2.0
90365,-4.0
90377,-6.0
90931,-2.0
90940,-2.0
91851,-2.0
91882,-3.0
91926,-2.0
91983,-1.0
92086,-1.0
92210,-1.0
92435,-4.0
92722,-4.0
94331,-2.0
94575,-2.0
94792,-2.0
94981,-1.0
95113,-2.0
95265,-2.0
95541,-1.0
95573,-3.0
95736,-2.0
96020,-2.0
96147,-1.0
96511,-4.0
96626,-1.0
97936,-2.0
98162,-2.0
98289,-1.0
99152,-3.0
99916,-1.0
100144,-3.0
100396,-2.0
100573,-2.0
100617,-2.0
101006,-2.0
101019,-3.0
101067,-1.0
101129,-1.0
101135,-2.0
101201,-1.0
101295,-2.0
101446,-3.0
101506,-1.0
101509,-1.0
101521,-1.0
101556,-1.0
101579,-1.0
101603,-1.0
101612,-2.0
101639,-3.0
101641,-1.0
101658,-1.0
101716,-2.0
101769,-1.0
101833,-1.0
102001,-2.0
102056,-1.0
102079,-4.0
102535,-1.0
102668,-2.0
102830,-2.0
102868,-2.0
103033,-1.0
103160,-1.0
103163,-1.0
103265,-4.0
103376,-2.0
103592,-1.0
103634,-1.0
103879,-1.0
103880,-1.0
103935,-3.0
104126,-1.0
104220,-1.0
104242,-2.0
104519,-4.0
104543,-1.0
104652,-2.0
104756,-4.0
104934,-2.0
105019,-2.0
105115,-1.0
105189,-1.0
105568,-2.0
105764,-1.0
105971,-2.0
106742,-2.0
106947,-1.0
107155,-2.0
107473,-2.0
107514,-2.0
107526,-2.0
107814,-2.0
107826,-2.0
107841,-1.0
108044,-3.0
108799,-1.0
108802,-2.0
109214,-4.0
109463,-2.0
109484,-1.0
109490,-1.0
109550,-2.0
109697,-2.0
110173,-2.0
110176,-2.0
110201,-2.0
110205,-2.0
110350,-4.0
110359,-2.0
110535,-2.0
110537,-1.0
110866,-1.0
111395,-1.0
111748,-4.0
111849,-6.0
111938,-2.0
112085,-4.0
112176,-1.0
112226,-3.0
112389,-3.0
112860,-4.0
113026,-2.0
113178,-1.0
113184,-1.0
113187,-2.0
113350,-1.0
113416,-1.0
113676,-1.0
113782,-5.0
113863,-4.0
113875,-4.0
113929,-2.0
113936,-2.0
114095,-1.0
114120,-1.0
114125,-1.0
114150,-1.0
114191,-2.0
114233,-1.0
114402,-1.0
114406,-1.0
114580,-2.0
114626,-2.0
114740,-1.0
115009,-4.0
115046,-3.0
115138,-4.0
115354,-1.0
115731,-4.0
116045,-2.0
116303,-2.0
116312,-2.0
116401,-4.0
116608,-8.0
116677,-1.0
117044,-1.0
117528,-2.0
118021,-6.0
118064,-2.0
118174,-4.0
118282,-3.0
118399,-1.0
118411,-3.0
118436,-2.0
118489,-4.0
118573,-4.0
118638,-4.0
118645,-1.0
118788,-8.0
119018,-3.0
119045,-1.0
119086,-3.0
119096,-1.0
119121,-4.0
119231,-2.0
119236,-3.0
119266,-1.0
119377,-2.0
119469,-1.0
119507,-3.0
119553,-1.0
119584,-1.0
119627,-3.0
119958,-3.0
119999,-4.0
120034,-1.0
120057,-1.0
120520,-2.0
120590,-1.0
120811,-2.0
120959,-1.0
121497,-2.0
121606,-6.0
122013,-1.0
122237,-2.0
122785,-1.0
122942,-2.0
123083,-1.0
123113,-2.0
123284,-4.0
123478,-1.0
123660,-1.0
123841,-2.0
123872,-2.0
124120,-1.0
124270,-2.0
124289,-1.0
124309,-2.0
124656,-3.0
124677,-1.0
124734,-1.0
124788,-2.0
125341,-1.0
125466,-1.0
125482,-2.0
125849,-5.0
125930,-4.0
125990,-1.0
125995,-1.0
126046,-2.0
126086,-6.0
126110,-3.0
126191,-1.0
126825,-6.0
126836,-1.0
126854,-4.0
127339,-3.0
127392,-2.0
127496,-1.0
127886,-1.0
127917,-1.0
127942,-3.0
127985,-2.0
128371,-3.0
128378,-3.0
128415,-3.0
128449,-3.0
128505,-1.0
128643,-4.0
128644,-4.0
128658,-1.0
128693,-1.0
129283,-1.0
129439,-2.0
129554,-1.0
129603,-2.0
129623,-1.0
129643,-2.0
129682,-1.0
129722,-2.0
129749,-3.0
129994,-6.0
130001,-3.0
130030,-2.0
130031,-3.0
130040,-2.0
130103,-1.0
130187,-2.0
130217,-1.0
130219,-1.0
130255,-2.0
130260,-1.0
130301,-2.0
130315,-2.0
130362,-2.0
130398,-1.0
130409,-3.0
130447,-3.0
130584,-3.0
130632,-2.0
130685,-2.0
131053,-1.0
131229,-2.0
131265,-5.0
131797,-2.0
131852,-1.0
131905,-2.0
131912,-2.0
131944,-2.0
131961,-2.0
132034,-5.0
132137,-2.0
132150,-1.0
132155,-1.0
132211,-1.0
132361,-1.0
132404,-1.0
132410,-2.0
132421,-3.0
132783,-2.0
132864,-2.0
133069,-3.0
133442,-3.0
133502,-2.0
133677,-6.0
134104,-2.0
134118,-3.0
134172,-2.0
134232,-4.0
134270,-1.0
134308,-2.0
134327,-2.0
134335,-3.0
134351,-2.0
134469,-1.0
134704,-1.0
134717,-4.0
134725,-1.0
134770,-1.0
134862,-2.0
134918,-6.0
134999,-1.0
135509,-1.0
135514,-1.0
136468,-1.0
136500,-3.0
136533,-1.0
136576,-1.0
136670,-1.0
136762,-1.0
137033,-2.0
137416,-2.0
137420,-2.0
137849,-2.0
137941,-1.0
138039,-4.0
138073,-2.0
138082,-2.0
138212,-1.0
138219,-1.0
138236,-1.0
138260,-3.0
138266,-2.0
138279,-2.0
138311,-4.0
138392,-2.0
138554,-1.0
138798,-2.0
138819,-2.0
138844,-1.0
138866,-2.0
138935,-1.0
139388,-4.0
139499,-1.0
139532,-1.0
139588,-1.0
139596,-1.0
139893,-3.0
139904,-3.0
139965,-4.0
140308,-11.0
140514,-2.0
140531,-6.0
140548,-2.0
140605,-1.0
140611,-1.0
140697,-2.0
140702,-2.0
140732,-1.0
140828,-5.0
140841,-1.0
140977,-1.0
141023,-3.0
141024,-1.0
141032,-1.0
141102,-1.0
141112,-1.0
141459,-1.0
141728,-1.0
141739,-1.0
141742,-2.0
141748,-1.0
142220,-3.0
142286,-1.0
142368,-2.0
142482,-2.0
142495,-1.0
142528,-1.0
142542,-1.0
142690,-2.0
142708,-2.0
142711,-2.0
142758,-1.0
142761,-2.0
142763,-2.0
142951,-1.0
143089,-3.0
143311,-1.0
143346,-2.0
143395,-1.0
143633,-1.0
143921,-2.0
143979,-1.0
144034,-2.0
144095,-2.0
144170,-2.0
144179,-1.0
144185,-2.0
144225,-3.0
144256,-2.0
144273,-1.0
144296,-2.0
144403,-1.0
144491,-2.0
144654,-1.0
144744,-2.0
144881,-7.0
145020,-2.0
145182,-1.0
145213,-1.0
145429,-2.0
145445,-5.0
145467,-5.0
145529,-4.0
145533,-2.0
145535,-2.0
145617,-1.0
145649,-2.0
145656,-1.0
145661,-1.0
145667,-2.0
145676,-3.0
145968,-1.0
145994,-2.0
146065,-2.0
146067,-4.0
146084,-1.0
146091,-2.0
146132,-1.0
146242,-1.0
146463,-1.0
146556,-1.0
146851,-1.0
146900,-1.0
146930,-2.0
146981,-2.0
147020,-4.0
147026,-3.0
147078,-2.0
147142,-1.0
147250,-1.0
147254,-4.0
147255,-4.0
147257,-2.0
147259,-1.0
147267,-1.0
147298,-2.0
147309,-2.0
147312,-1.0
147407,-2.0
147441,-1.0
147497,-2.0
147572,-2.0
147807,-1.0
147821,-1.0
148071,-1.0
148105,-1.0
148131,-1.0
148196,-2.0
148394,-3.0
148418,-1.0
148422,-1.0
148442,-1.0
148467,-3.0
148482,-4.0
148483,-4.0
148497,-1.0
148544,-3.0
148546,-6.0
148562,-3.0
148575,-1.0
148681,-2.0
148720,-1.0
148806,-2.0
148942,-2.0
149138,-1.0
149156,-2.0
149225,-1.0
149236,-2.0
149424,-6.0
149667,-1.0
149699,-1.0
149702,-1.0
149729,-1.0
149752,-9.0
149779,-1.0
149791,-1.0
149835,-5.0
150080,-1.0
150286,-1.0
150293,-1.0
150461,-1.0
150488,-1.0
150619,-1.0
150672,-4.0
151275,-1.0
151520,-2.0
151563,-2.0
152002,-1.0
152076,-2.0
152095,-3.0
152134,-2.0
152283,-1.0
152521,-2.0
152537,-1.0
152538,-1.0
152586,-1.0
152592,-1.0
152638,-1.0
152643,-1.0
152755,-1.0
152809,-1.0
152919,-1.0
152922,-2.0
152961,-1.0
153010,-1.0
153112,-1.0
153121,-3.0
153232,-2.0
153279,-1.0
153286,-1.0
153295,-2.0
153336,-2.0
153779,-1.0
153781,-4.0
153787,-1.0
153935,-1.0
153936,-1.0
154153,-3.0
154157,-3.0
154176,-2.0
154239,-2.0
154271,-4.0
154311,-1.0
154315,-1.0
154881,-2.0
154977,-1.0
154992,-3.0
155051,-2.0
155067,-2.0
155168,-3.0
155298,-4.0
155376,-2.0
155446,-1.0
155461,-1.0
155657,-3.0
155668,-3.0
155995,-1.0
156228,-1.0
156236,-3.0
156253,-4.0
156450,-2.0
156638,-1.0
156948,-1.0
156974,-1.0
156987,-1.0
157094,-3.0
157191,-2.0
157271,-1.0
158039,-2.0
158044,-4.0
158072,-4.0
158239,-1.0
158450,-2.0
158489,-2.0
158675,-2.0
158832,-4.0
158876,-1.0
158994,-5.0
159006,-3.0
159196,-6.0
159457,-6.0
159463,-6.0
159627,-1.0
160971,-1.0
161182,-2.0
161578,-1.0
162278,-2.0
162315,-1.0
162522,-2.0
162709,-1.0
163107,-1.0
164764,-1.0
165131,-2.0
165187,-2.0
165227,-1.0
165786,-2.0
166031,-2.0
166150,-1.0
166268,-1.0
166370,-5.0
166486,-2.0
166606,-1.0
167268,-2.0
167393,-1.0
167823,-2.0
168249,-1.0
168315,-2.0
168407,-1.0
168439,-2.0
169021,-2.0
169293,-1.0
169430,-4.0
169434,-1.0
169446,-4.0
169481,-1.0
169545,-1.0
169546,-1.0
169556,-2.0
169807,-4.0
169988,-2.0
170090,-2.0
170747,-1.0
170768,-3.0
170773,-3.0
170871,-2.0
170942,-2.0
171413,-1.0
171422,-1.0
171496,-1.0
171567,-3.0
171647,-1.0
171697,-1.0
171698,-1.0
171783,-4.0
172088,-4.0
172124,-1.0
172127,-4.0
172301,-6.0
172330,-2.0
172468,-1.0
172477,-3.0
172522,-2.0
172563,-1.0
172902,-2.0
173144,-1.0
173592,-2.0
173621,-6.0
173641,-3.0
173753,-3.0
173778,-3.0
173846,-4.0
173875,-3.0
173883,-5.0
173907,-2.0
173921,-5.0
174056,-2.0
174059,-2.0
174303,-2.0
174317,-6.0
174347,-6.0
174363,-2.0
174430,-3.0
174434,-1.0
174491,-4.0
174630,-2.0
174845,-1.0
175052,-1.0
175058,-1.0
175175,-1.0
175187,-1.0
175199,-2.0
175264,-1.0
175303,-2.0
175356,-6.0
175412,-5.0
175424,-1.0
175736,-1.0
176782,-4.0
176876,-2.0
176884,-2.0
176923,-1.0
177059,-1.0
177076,-1.0
177114,-1.0
177126,-1.0
177187,-1.0
177250,-6.0
177366,-2.0
177543,-1.0
177564,-1.0
177627,-1.0
177703,-2.0
177772,-3.0
177791,-1.0
177795,-1.0
177862,-2.0
177863,-2.0
177872,-1.0
178509,-7.0
178659,-7.0
178857,-3.0
179200,-2.0
179205,-2.0
179251,-1.0
179292,-2.0
179656,-2.0
179852,-1.0
179889,-7.0
180323,-1.0
180638,-1.0
180828,-2.0
181105,-2.0
181821,-1.0
182105,-6.0
182153,-3.0
182163,-3.0
182182,-1.0
182378,-1.0
182395,-1.0
182430,-1.0
182474,-2.0
182499,-1.0
182543,-2.0
183481,-1.0
183557,-2.0
183628,-2.0
183923,-1.0
183953,-1.0
184000,-1.0
184006,-1.0
184150,-1.0
184172,-1.0
184175,-7.0
184216,-7.0
184348,-1.0
184402,-1.0
184429,-2.0
184441,-1.0
184486,-1.0
184492,-1.0
184506,-2.0
184541,-1.0
184579,-1.0
184624,-1.0
184668,-1.0
184696,-1.0
184733,-1.0
184755,-1.0
184874,-1.0
184948,-1.0
185053,-2.0
185104,-1.0
185115,-1.0
185121,-4.0
185139,-1.0
185235,-4.0
185376,-3.0
185390,-8.0
185467,-3.0
185683,-2.0
185913,-3.0
185969,-1.0
186119,-2.0
186219,-2.0
186382,-1.0
186626,-1.0
186642,-1.0
186647,-1.0
186664,-2.0
186754,-1.0
187247,-1.0
187393,-1.0
187454,-1.0
187686,-4.0
187704,-2.0
187708,-2.0
187750,-1.0
187802,-1.0
187893,-1.0
187904,-2.0
187971,-1.0
188242,-2.0
188292,-2.0
188446,-1.0
188476,-1.0
188564,-2.0
188677,-4.0
188911,-2.0
188961,-2.0
189079,-6.0
189289,-2.0
189313,-6.0
189318,-1.0
189341,-1.0
189638,-1.0
189639,-1.0
189867,-1.0
189875,-2.0
189994,-2.0
190063,-7.0
190186,-7.0
190223,-1.0
190288,-1.0
190295,-1.0
190336,-1.0
190351,-1.0
190375,-1.0
190514,-1.0
190550,-1.0
190581,-1.0
190678,-1.0
190719,-1.0
190845,-1.0
190939,-2.0
191062,-1.0
191156,-12.0
191168,-4.0
191211,-2.0
191380,-1.0
191425,-1.0
191643,-1.0
191934,-1.0
191991,-1.0
191996,-1.0
192228,-2.0
192306,-7.0
192409,-1.0
192548,-1.0
192631,-1.0
192758,-7.0
192778,-2.0
192785,-1.0
192960,-1.0
193059,-2.0
193280,-1.0
193389,-3.0
193529,-1.0
193538,-1.0
193580,-2.0
193644,-1.0
193774,-2.0
193794,-1.0
193817,-1.0
193840,-1.0
193849,-1.0
193855,-2.0
193883,-1.0
193980,-1.0
194023,-2.0
194024,-2.0
194025,-2.0
194029,-2.0
194031,-2.0
194036,-2.0
194068,-2.0
194072,-1.0
194113,-1.0
194307,-1.0
194352,-2.0
194359,-1.0
194486,-1.0
194513,-3.0
194644,-5.0
194661,-2.0
194674,-5.0
194728,-1.0
194849,-1.0
194990,-2.0
194992,-2.0
195333,-1.0
195459,-1.0
195528,-1.0
195533,-1.0
195547,-1.0
195590,-1.0
195690,-2.0
195723,-2.0
195730,-2.0
195835,-1.0
195854,-3.0
196265,-1.0
196339,-3.0
196355,-1.0
196466,-1.0
196473,-1.0
196487,-2.0
196499,-1.0
196515,-1.0
196548,-1.0
196576,-1.0
196581,-1.0
196591,-1.0
196603,-1.0
196610,-1.0
196688,-1.0
196709,-1.0
196809,-2.0
196864,-1.0
196913,-1.0
196926,-1.0
196945,-1.0
196948,-1.0
196963,-1.0
196979,-1.0
197035,-1.0
197056,-1.0
197079,-2.0
197081,-1.0
197082,-1.0
197097,-1.0
197113,-1.0
197219,-1.0
197239,-3.0
197372,-1.0
197465,-1.0
197557,-1.0
197585,-4.0
197613,-2.0
197777,-2.0
197967,-1.0
198091,-1.0
198299,-1.0
198307,-1.0
198367,-3.0
198667,-1.0
198748,-2.0
199041,-1.0
199065,-1.0
199219,-3.0
199220,-4.0
199335,-7.0
199336,-2.0
199592,-6.0
199697,-2.0
200110,-4.0
200124,-2.0
200314,-3.0
200564,-3.0
200705,-2.0
200740,-2.0
200794,-1.0
200825,-3.0
201001,-2.0
201057,-2.0
201063,-1.0
201106,-2.0
201123,-2.0
201265,-2.0
201273,-3.0
201333,-2.0
201339,-3.0
201362,-1.0
201372,-3.0
201386,-1.0
201397,-2.0
201648,-1.0
201933,-6.0
201952,-3.0
202024,-6.0
202050,-4.0
202056,-1.0
202140,-3.0
202167,-7.0
202199,-1.0
202261,-2.0
202432,-1.0
202466,-1.0
202657,-2.0
202688,-2.0
202742,-2.0
202749,-2.0
202769,-3.0
202860,-1.0
202879,-1.0
202918,-2.0
202938,-1.0
202963,-4.0
202997,-2.0
203046,-2.0
203103,-1.0
203245,-3.0
203429,-1.0
203437,-3.0
203484,-2.0
203559,-3.0
203562,-1.0
