,score
111977,-3.0
112040,-1.0
112046,-3.0
112054,-1.0
112074,-4.0
112078,-4.0
112081,-4.0
112178,-1.0
112441,-1.0
112446,-1.0
112457,-4.0
112740,-1.0
112892,-3.0
112963,-3.0
113352,-1.0
113497,-1.0
113562,-1.0
113572,-1.0
113689,-3.0
113769,-6.0
113894,-3.0
114156,-2.0
114329,-1.0
114357,-2.0
114645,-1.0
114653,-1.0
114876,-1.0
114879,-1.0
115203,-1.0
115434,-2.0
115468,-2.0
115658,-1.0
115660,-1.0
115724,-1.0
115746,-2.0
115884,-1.0
116109,-2.0
116313,-2.0
116330,-1.0
116356,-2.0
116365,-2.0
116663,-2.0
116676,-6.0
116809,-1.0
116815,-2.0
116837,-1.0
116838,-5.0
116912,-2.0
117219,-2.0
117293,-2.0
117414,-2.0
117702,-1.0
117724,-1.0
118466,-1.0
118580,-1.0
118581,-1.0
118605,-1.0
118627,-1.0
119047,-1.0
119062,-4.0
119192,-1.0
119267,-1.0
119555,-1.0
119567,-3.0
119586,-1.0
119722,-1.0
119731,-1.0
119811,-2.0
119834,-3.0
119873,-2.0
119960,-3.0
119967,-3.0
120029,-1.0
120031,-1.0
120036,-1.0
120059,-1.0
120176,-1.0
120189,-1.0
120217,-2.0
120357,-1.0
120358,-4.0
120367,-1.0
120615,-1.0
120655,-1.0
120822,-1.0
120936,-1.0
120942,-1.0
120977,-5.0
121093,-1.0
121100,-1.0
121169,-1.0
121175,-1.0
121304,-1.0
121328,-1.0
121460,-1.0
121513,-1.0
121565,-1.0
121594,-3.0
121889,-1.0
121902,-1.0
122070,-1.0
122121,-2.0
122140,-1.0
122149,-1.0
122206,-3.0
122367,-1.0
122369,-1.0
122431,-2.0
122459,-2.0
122688,-1.0
122800,-2.0
122838,-1.0
123196,-1.0
123198,-1.0
123326,-2.0
123371,-1.0
123812,-1.0
124010,-1.0
124011,-1.0
124012,-1.0
124034,-1.0
124036,-1.0
124039,-1.0
124519,-1.0
124521,-1.0
124578,-3.0
124657,-3.0
124946,-1.0
124968,-1.0
125043,-1.0
125483,-2.0
125509,-1.0
125530,-1.0
125683,-1.0
125684,-1.0
125901,-1.0
125904,-1.0
126087,-6.0
126112,-3.0
126115,-3.0
126119,-3.0
126150,-3.0
126843,-1.0
126901,-1.0
127213,-6.0
127314,-3.0
127357,-2.0
127737,-3.0
128044,-3.0
128089,-8.0
128347,-2.0
128385,-2.0
128708,-5.0
128736,-1.0
128746,-5.0
128783,-1.0
128846,-2.0
128849,-2.0
129002,-1.0
129004,-1.0
129284,-1.0
129480,-1.0
129508,-1.0
129777,-4.0
