,score
62576,-2.0
62753,-1.0
62791,-4.0
62863,-4.0
62936,-2.0
62939,-1.0
62960,-2.0
63021,-1.0
63132,-1.0
63158,-2.0
63164,-2.0
63165,-2.0
63166,-2.0
63169,-2.0
63251,-4.0
63307,-2.0
63313,-2.0
63314,-2.0
63315,-2.0
63316,-2.0
63322,-2.0
63339,-4.0
63352,-2.0
63393,-2.0
63421,-2.0
63439,-1.0
63558,-1.0
63614,-1.0
63721,-1.0
63748,-2.0
63784,-2.0
63834,-2.0
63949,-2.0
63999,-1.0
64000,-1.0
64022,-6.0
64068,-2.0
64136,-2.0
64159,-1.0
64249,-1.0
64371,-2.0
64492,-3.0
64562,-2.0
64603,-4.0
64661,-3.0
64664,-3.0
64665,-3.0
64666,-3.0
64667,-3.0
64773,-3.0
64784,-3.0
64793,-1.0
64799,-1.0
65010,-3.0
65064,-2.0
65083,-5.0
65093,-3.0
65105,-1.0
65116,-3.0
65129,-2.0
65140,-2.0
65349,-5.0
65362,-1.0
65368,-2.0
65406,-2.0
65446,-5.0
65526,-3.0
65531,-2.0
65596,-1.0
65668,-1.0
65691,-2.0
65711,-2.0
65723,-3.0
65732,-4.0
65735,-2.0
65737,-2.0
65744,-2.0
65751,-2.0
65793,-2.0
65796,-4.0
65805,-4.0
65811,-2.0
65818,-1.0
65819,-2.0
65824,-3.0
65852,-1.0
65855,-2.0
65867,-1.0
65871,-3.0
65912,-4.0
65917,-2.0
65933,-2.0
65953,-4.0
65974,-1.0
66004,-18.0
66010,-1.0
66011,-2.0
66050,-4.0
66054,-4.0
66068,-1.0
66083,-1.0
66085,-5.0
66133,-2.0
66134,-1.0
66140,-1.0
66141,-3.0
66145,-2.0
66148,-3.0
66166,-1.0
66179,-3.0
66189,-1.0
66191,-2.0
66196,-3.0
66206,-2.0
66223,-4.0
66247,-1.0
66255,-8.0
66307,-1.0
66338,-3.0
66362,-1.0
66370,-3.0
66426,-2.0
66450,-5.0
66453,-3.0
66468,-4.0
66493,-1.0
66501,-5.0
66508,-4.0
66516,-2.0
66537,-3.0
66543,-1.0
66563,-1.0
66567,-2.0
66571,-4.0
66599,-1.0
66660,-1.0
66692,-3.0
66708,-1.0
66766,-3.0
66802,-3.0
66814,-4.0
66860,-3.0
66887,-1.0
66938,-4.0
66969,-6.0
66993,-3.0
67033,-1.0
67041,-2.0
67058,-6.0
67071,-4.0
67078,-1.0
67087,-1.0
67094,-3.0
67097,-2.0
67099,-1.0
67100,-1.0
67114,-6.0
67115,-1.0
67116,-3.0
67129,-3.0
67130,-4.0
67134,-2.0
67145,-1.0
67157,-6.0
67161,-4.0
67196,-1.0
67223,-1.0
67226,-3.0
67239,-2.0
67259,-2.0
67260,-2.0
67261,-2.0
67262,-2.0
67299,-4.0
67302,-3.0
67305,-2.0
67321,-3.0
67336,-2.0
67346,-2.0
67399,-2.0
67471,-1.0
67481,-1.0
67500,-1.0
67510,-2.0
67517,-6.0
67522,-4.0
67529,-3.0
67560,-3.0
67578,-1.0
67581,-1.0
67625,-1.0
67630,-2.0
67670,-2.0
67676,-2.0
67713,-1.0
67726,-2.0
67738,-1.0
67742,-2.0
67744,-2.0
67746,-1.0
67831,-2.0
67832,-4.0
67941,-3.0
68018,-2.0
68028,-2.0
68037,-2.0
68055,-4.0
68147,-3.0
68176,-2.0
68237,-1.0
68262,-3.0
68290,-7.0
68313,-1.0
68314,-3.0
68353,-2.0
68391,-3.0
68393,-3.0
68404,-6.0
68436,-2.0
68446,-2.0
68460,-5.0
68462,-1.0
68469,-4.0
68532,-4.0
68622,-2.0
68682,-6.0
68696,-3.0
68714,-1.0
68726,-1.0
68741,-3.0
68756,-3.0
68771,-2.0
68817,-1.0
68867,-2.0
68868,-5.0
68872,-4.0
68880,-4.0
68910,-2.0
68912,-1.0
68926,-3.0
68940,-1.0
68944,-2.0
68951,-4.0
68977,-3.0
69076,-1.0
69089,-2.0
69096,-1.0
69240,-1.0
69260,-1.0
69301,-1.0
69304,-1.0
69308,-7.0
69315,-1.0
69338,-4.0
69368,-6.0
69371,-3.0
69484,-2.0
69493,-2.0
69522,-1.0
69527,-5.0
69538,-1.0
69544,-1.0
69607,-1.0
69637,-1.0
69645,-1.0
69695,-1.0
69722,-3.0
69747,-4.0
69749,-3.0
69757,-1.0
69777,-2.0
69783,-1.0
69865,-1.0
69887,-3.0
69916,-2.0
69918,-1.0
69924,-1.0
69957,-2.0
70009,-4.0
70032,-2.0
70079,-3.0
70086,-4.0
70139,-2.0
70164,-1.0
70178,-1.0
70197,-6.0
70205,-2.0
70220,-2.0
70221,-6.0
70269,-6.0
70288,-2.0
70301,-3.0
70302,-5.0
70306,-1.0
70310,-2.0
70318,-6.0
70320,-2.0
70335,-2.0
70341,-2.0
70354,-1.0
70384,-2.0
70422,-1.0
70446,-2.0
70447,-2.0
70465,-2.0
70466,-1.0
70471,-2.0
70605,-3.0
70619,-2.0
70622,-1.0
70629,-6.0
70631,-1.0
70636,-1.0
70642,-1.0
70669,-6.0
70671,-1.0
70686,-1.0
70691,-2.0
70698,-5.0
70728,-4.0
70765,-2.0
70805,-2.0
70819,-3.0
70820,-2.0
70821,-2.0
70861,-2.0
70897,-3.0
70923,-1.0
71000,-3.0
71027,-6.0
71097,-1.0
71274,-3.0
71303,-1.0
71367,-2.0
71380,-3.0
71382,-3.0
71387,-4.0
71402,-1.0
71425,-4.0
71441,-3.0
71464,-3.0
71475,-3.0
71534,-4.0
71542,-3.0
71556,-1.0
71565,-1.0
71631,-1.0
71641,-1.0
71707,-1.0
71753,-6.0
71759,-1.0
71761,-1.0
71950,-1.0
72003,-3.0
72006,-3.0
72067,-2.0
72072,-1.0
72270,-4.0
72349,-2.0
72365,-6.0
72380,-1.0
72420,-2.0
72452,-1.0
72469,-2.0
72529,-2.0
72573,-3.0
72655,-1.0
72704,-1.0
72717,-3.0
72761,-6.0
72773,-1.0
73260,-2.0
73288,-8.0
73368,-1.0
73414,-6.0
73462,-1.0
73528,-3.0
73731,-1.0
73785,-6.0
73948,-2.0
74067,-1.0
74149,-2.0
74151,-2.0
74164,-6.0
74318,-1.0
74349,-1.0
74384,-1.0
74393,-2.0
74396,-2.0
74416,-2.0
74429,-1.0
