,score
10174,-2.0
10193,-3.0
10215,-3.0
10279,-2.0
10284,-2.0
10312,-6.0
10333,-4.0
10343,-1.0
10345,-1.0
10371,-3.0
10379,-1.0
10388,-5.0
10391,-5.0
10400,-4.0
10422,-5.0
10434,-7.0
10447,-2.0
10459,-1.0
10466,-2.0
10480,-6.0
10493,-5.0
10498,-5.0
10505,-6.0
10516,-2.0
10520,-4.0
10521,-5.0
10556,-4.0
10559,-5.0
10574,-3.0
10578,-2.0
10585,-2.0
10636,-1.0
10672,-2.0
10706,-4.0
10707,-5.0
10712,-1.0
10735,-1.0
10741,-3.0
10754,-4.0
10772,-2.0
10779,-1.0
10788,-6.0
10791,-2.0
10839,-3.0
10852,-2.0
10853,-3.0
10855,-2.0
10856,-2.0
10892,-1.0
10925,-1.0
10951,-2.0
10958,-2.0
10961,-1.0
10962,-1.0
10994,-5.0
11011,-1.0
11040,-1.0
11042,-2.0
11083,-2.0
11084,-1.0
11090,-1.0
11092,-4.0
11112,-2.0
11117,-4.0
11138,-1.0
11149,-2.0
11215,-1.0
11280,-1.0
11286,-2.0
11322,-1.0
11335,-1.0
11436,-1.0
11438,-1.0
11440,-1.0
11478,-1.0
11554,-1.0
11617,-1.0
11679,-2.0
11696,-3.0
11793,-6.0
11806,-2.0
11826,-2.0
11859,-5.0
11902,-3.0
11917,-4.0
11954,-3.0
11976,-1.0
12023,-1.0
12035,-1.0
12037,-1.0
12040,-3.0
12049,-2.0
12095,-3.0
12100,-2.0
12124,-1.0
12125,-3.0
12132,-1.0
12182,-2.0
12297,-4.0
12322,-1.0
12329,-1.0
12357,-3.0
12399,-2.0
12461,-1.0
12523,-1.0
12526,-1.0
12543,-6.0
12545,-1.0
12555,-1.0
12557,-1.0
12558,-1.0
12567,-1.0
12577,-1.0
12601,-1.0
12627,-2.0
12664,-1.0
12668,-2.0
12705,-2.0
12749,-2.0
12814,-3.0
12840,-3.0
12848,-1.0
12864,-1.0
12876,-2.0
12881,-2.0
12888,-1.0
12889,-2.0
12891,-1.0
12904,-1.0
12912,-1.0
12916,-3.0
12946,-1.0
12981,-1.0
12984,-1.0
12993,-2.0
13005,-2.0
13023,-1.0
13052,-3.0
13055,-6.0
13057,-1.0
13069,-2.0
13088,-2.0
13106,-2.0
13124,-2.0
13148,-3.0
13179,-3.0
13185,-2.0
13188,-3.0
13243,-2.0
13257,-5.0
13259,-2.0
13323,-1.0
13345,-2.0
13393,-1.0
13424,-2.0
13434,-3.0
13449,-2.0
13450,-1.0
13452,-1.0
13453,-3.0
13461,-2.0
13473,-1.0
13479,-4.0
13488,-3.0
13492,-4.0
13494,-2.0
13499,-6.0
13506,-1.0
13507,-1.0
13516,-2.0
13521,-1.0
13525,-2.0
13532,-2.0
13557,-2.0
13572,-4.0
13574,-2.0
13578,-2.0
13611,-1.0
13634,-1.0
13656,-1.0
13669,-1.0
13674,-1.0
13689,-1.0
13694,-1.0
13708,-3.0
13737,-1.0
13821,-2.0
13822,-3.0
13838,-1.0
13850,-2.0
13877,-2.0
13934,-1.0
13942,-2.0
13997,-2.0
13999,-2.0
14031,-2.0
14130,-3.0
14132,-1.0
14141,-4.0
14146,-2.0
14156,-2.0
14176,-1.0
14186,-2.0
14194,-3.0
14240,-3.0
14245,-1.0
14249,-2.0
14383,-1.0
14396,-1.0
14399,-2.0
14467,-2.0
14483,-1.0
14485,-1.0
14495,-6.0
14505,-4.0
14532,-4.0
14754,-3.0
14775,-2.0
14834,-3.0
14842,-1.0
15049,-2.0
15086,-9.0
15090,-2.0
15111,-1.0
15129,-4.0
15131,-2.0
15135,-1.0
15153,-4.0
15171,-1.0
15196,-1.0
